# L curl_mv curl_mv_error
1.450000000000000000e+01 -4.808891789999999998e-08 2.527804540000000101e-08
3.050000000000000000e+01 -8.016684170000000657e-09 1.224231049999999942e-08
5.300000000000000000e+01 1.173390589999999917e-08 7.663556520000000580e-09
8.350000000000000000e+01 1.116888010000000045e-08 5.417438230000000034e-09
1.230000000000000000e+02 2.547001819999999829e-09 4.339795630000000019e-09
1.720000000000000000e+02 9.155063259999999863e-10 3.465570970000000037e-09
2.315000000000000000e+02 -1.875654479999999878e-10 3.202246080000000095e-09
3.015000000000000000e+02 -2.066697369999999976e-09 3.033851710000000196e-09
3.825000000000000000e+02 5.405630290000000336e-09 2.970891529999999852e-09
4.760000000000000000e+02 2.912923300000000233e-10 2.668883330000000142e-09
5.820000000000000000e+02 1.780036419999999962e-09 2.577612470000000203e-09
7.005000000000000000e+02 1.576092799999999945e-09 2.350841029999999957e-09
8.325000000000000000e+02 -2.586227520000000193e-09 2.331837589999999898e-09
1.001000000000000000e+03 1.924513690000000107e-09 1.913630870000000089e-09
1.200000000000000000e+03 1.072449209999999948e-09 1.900048829999999823e-09
1.400000000000000000e+03 -4.813189039999999862e-10 1.747090399999999933e-09
1.600000000000000000e+03 2.242231530000000013e-09 1.737425849999999987e-09
1.874000000000000000e+03 1.337889929999999914e-09 1.540346149999999973e-09
