# L lensing_mv_2013 lensing_mv_2013_error
# power columns are 1e8 * L^2 * (L + 1)^2 * C_L / (2*pi)
6.000000000000000000e+00 -1.363790000000000016e+01 1.534090000000000060e+01
1.600000000000000000e+01 6.018399999999999750e+00 4.888100000000000112e+00
2.850000000000000000e+01 -1.067500000000000115e+00 3.093999999999999861e+00
4.500000000000000000e+01 6.134999999999999787e-01 1.847400000000000042e+00
6.700000000000000000e+01 1.502999999999999892e+00 1.269600000000000062e+00
9.350000000000000000e+01 1.375999999999999890e+00 9.950000000000000400e-01
1.255000000000000000e+02 -1.228900000000000104e+00 8.285999999999999810e-01
1.635000000000000000e+02 1.191000000000000059e+00 7.001000000000000112e-01
2.060000000000000000e+02 -6.566999999999999948e-01 6.196999999999999842e-01
2.555000000000000000e+02 -8.201000000000000289e-01 5.235000000000000320e-01
3.120000000000000000e+02 -7.581000000000000405e-01 4.850000000000000200e-01
3.740000000000000000e+02 -3.200999999999999901e-01 5.133999999999999675e-01
4.430000000000000000e+02 -1.589000000000000024e-01 4.073000000000000176e-01
5.195000000000000000e+02 -6.451000000000000290e-01 4.044000000000000150e-01
6.030000000000000000e+02 4.910000000000000142e-01 3.717999999999999861e-01
6.935000000000000000e+02 -2.185999999999999999e-01 3.702000000000000179e-01
7.930000000000000000e+02 -3.294999999999999929e-01 4.145999999999999908e-01
8.995000000000000000e+02 -3.646999999999999798e-01 4.703000000000000180e-01
1.014500000000000000e+03 -1.060000000000000026e-01 5.904000000000000359e-01
1.111500000000000000e+03 -7.887000000000000233e-01 8.506999999999999673e-01
