# L curl_TT_planck curl_TT_planck_error
1.750000000000000000e+01 -7.406999999999999754e-09 4.147999999999999821e-08
3.410000000000000142e+01 -2.117999999999999924e-09 2.248000000000000013e-08
5.720000000000000284e+01 -5.580000000000000376e-10 1.424000000000000046e-08
8.850000000000000000e+01 8.273000000000000693e-09 1.058999999999999921e-08
1.284000000000000057e+02 6.155000000000000355e-09 7.699999999999999466e-09
1.776999999999999886e+02 -1.275999999999999978e-08 6.716000000000000383e-09
2.374000000000000057e+02 6.664999999999999628e-09 5.394000000000000192e-09
3.076000000000000227e+02 -9.628999999999999733e-09 4.858000000000000388e-09
3.893000000000000114e+02 -9.829999999999999349e-09 4.591999999999999859e-09
4.835000000000000000e+02 -1.186999999999999975e-08 3.946999999999999708e-09
5.895000000000000000e+02 -7.667000000000000097e-09 3.622000000000000107e-09
7.082000000000000455e+02 -4.245000000000000127e-09 3.459000000000000153e-09
8.407000000000000455e+02 -4.116999999999999742e-09 2.922000000000000043e-09
1.602799999999999955e+03 2.461000000000000084e-10 2.906999999999999991e-09
